股票,族群,現價,AI分數,交易狀態,市場溫度,市場溫度類別,市場狀態,壓力,支撐,RR,多週期判讀,情境提醒,AI策略劇本,結構結果,日K方向,30分K方向,量價判讀,_cats,_sort,主力痕跡
3231 緯創,AI伺服器,176.0,47,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,194(30M平台) / 194(前高),150.2(MA20),0.70,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>量增｜RV 1.39x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。 空間偏緊，較像要先等確認的盤。,"方向：觀察整理
關鍵：守住 150.2(MA20)，突破 194(30M平台) / 194(前高)，RR 偏緊
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。",多方回檔,多｜強多,空｜偏空,量增｜RV 1.39x｜沿短均線下殺,AI伺服器,3,一般整理
6202 盛群,MCU,57.4,47,空方壓縮｜等方向,🌫 等待盤,temp-cool,空方壓縮,58.4(30M平台) / 58.4(前高),56.8(30M平台),0.60,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.04x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌫 等待盤</span></div>,空方整理中，若支撐守不住，往下可能加速。<br>市場還在收斂，等確認後再看。 空間偏緊，較像要先等確認的盤。 量縮壓縮味道明顯，等待方向確認即可。,"方向：盤整待變
關鍵：守住 56.8(30M平台)，突破 58.4(30M平台) / 58.4(前高)，RR 偏緊
劇本：等待壓力或支撐其中一邊被確認，再決定追蹤方向。 量縮等待表態。",空方壓縮,空｜偏多,空｜偏空,放量｜RV 2.04x｜橫向整理,MCU,6,量縮壓縮
2367 燿華,"PCB載板材料,自選",62.0,47,空方壓縮｜等方向,🌫 等待盤,temp-cool,空方壓縮,65.2(30M平台) / 65.8(前高),60.14(保守支撐),0.58,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜強空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.72x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌫 等待盤</span></div>,空方整理中，若支撐守不住，往下可能加速。<br>市場還在收斂，等確認後再看。 空間偏緊，較像要先等確認的盤。 量縮壓縮味道明顯，等待方向確認即可。,"方向：盤整待變
關鍵：守住 60.14(保守支撐)，突破 65.2(30M平台) / 65.8(前高)，RR 偏緊
劇本：等待壓力或支撐其中一邊被確認，再決定追蹤方向。 量縮等待表態。",空方壓縮,空｜偏空,空｜強空,放量｜RV 2.72x｜沿短均線下殺,"PCB載板材料,自選",6,量縮壓縮
3661 世芯-KY,ASIC,4340.0,47,空方壓縮｜等方向,🌫 等待盤,temp-cool,空方壓縮,4595(前高) / 4600(30M平台),4209.8(保守支撐),0.51,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜強空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.78x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌫 等待盤</span></div>,空方整理中，若支撐守不住，往下可能加速。<br>市場還在收斂，等確認後再看。 空間偏緊，較像要先等確認的盤。 量縮壓縮味道明顯，等待方向確認即可。,"方向：盤整待變
關鍵：守住 4209.8(保守支撐)，突破 4595(前高) / 4600(30M平台)，RR 偏緊
劇本：等待壓力或支撐其中一邊被確認，再決定追蹤方向。 量縮等待表態。",空方壓縮,空｜偏空,空｜強空,放量｜RV 2.78x｜沿短均線下殺,ASIC,6,量縮壓縮
2049 上銀,機器人,358.0,47,空方壓縮｜等方向,🌫 等待盤,temp-cool,空方壓縮,369(前高) / 369(30M平台),353.5(30M平台),0.41,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜強空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.97x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌫 等待盤</span></div>,空方整理中，若支撐守不住，往下可能加速。<br>市場還在收斂，等確認後再看。 空間偏緊，較像要先等確認的盤。 量縮壓縮味道明顯，等待方向確認即可。,"方向：盤整待變
關鍵：守住 353.5(30M平台)，突破 369(前高) / 369(30M平台)，RR 偏緊
劇本：等待壓力或支撐其中一邊被確認，再決定追蹤方向。 量縮等待表態。",空方壓縮,空｜偏多,空｜強空,放量｜RV 2.97x｜沿短均線下殺,機器人,6,量縮壓縮
8046 南電,PCB載板材料,878.0,47,空方壓縮｜等方向,🌫 等待盤,temp-cool,空方壓縮,904(前高) / 905(30M平台),870(30M平台) / 867.85(MA20),0.31,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 1.90x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌫 等待盤</span></div>,空方整理中，若支撐守不住，往下可能加速。<br>市場還在收斂，等確認後再看。 空間偏緊，較像要先等確認的盤。 量縮壓縮味道明顯，等待方向確認即可。,"方向：盤整待變
關鍵：守住 870(30M平台) / 867.85(MA20)，突破 904(前高) / 905(30M平台)，RR 偏緊
劇本：等待壓力或支撐其中一邊被確認，再決定追蹤方向。 量縮等待表態。",空方壓縮,空｜偏多,空｜偏空,放量｜RV 1.90x｜橫向整理,PCB載板材料,6,量縮壓縮
3260 威剛,記憶體,458.0,47,空方壓縮｜等方向,🌫 等待盤,temp-cool,空方壓縮,469.5(前高) / 471(30M平台),455(30M平台) / 428.35(MA20),0.26,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.50x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌫 等待盤</span></div>,空方整理中，若支撐守不住，往下可能加速。<br>市場還在收斂，等確認後再看。 空間偏緊，較像要先等確認的盤。 量縮壓縮味道明顯，等待方向確認即可。,"方向：盤整待變
關鍵：守住 455(30M平台) / 428.35(MA20)，突破 469.5(前高) / 471(30M平台)，RR 偏緊
劇本：等待壓力或支撐其中一邊被確認，再決定追蹤方向。 量縮等待表態。",空方壓縮,空｜強多,空｜偏空,放量｜RV 2.50x｜沿短均線下殺,記憶體,6,量縮壓縮
4952 凌通,MCU,50.7,47,空方壓縮｜等方向,🌫 等待盤,temp-cool,空方壓縮,52(30M平台) / 52(前高),50.4(30M平台),0.23,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜強空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.25x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌫 等待盤</span></div>,空方整理中，若支撐守不住，往下可能加速。<br>市場還在收斂，等確認後再看。 空間偏緊，較像要先等確認的盤。 量縮壓縮味道明顯，等待方向確認即可。,"方向：盤整待變
關鍵：守住 50.4(30M平台)，突破 52(30M平台) / 52(前高)，RR 偏緊
劇本：等待壓力或支撐其中一邊被確認，再決定追蹤方向。 量縮等待表態。",空方壓縮,空｜偏多,空｜強空,放量｜RV 2.25x｜均線下彎,MCU,6,量縮壓縮
6213 聯茂,PCB載板材料,260.5,47,空方壓縮｜等方向,🌫 等待盤,temp-cool,空方壓縮,270(30M平台) / 273(前高),259(30M平台),0.16,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜強空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.24x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌫 等待盤</span></div>,空方整理中，若支撐守不住，往下可能加速。<br>市場還在收斂，等確認後再看。 空間偏緊，較像要先等確認的盤。 量縮壓縮味道明顯，等待方向確認即可。,"方向：盤整待變
關鍵：守住 259(30M平台)，突破 270(30M平台) / 273(前高)，RR 偏緊
劇本：等待壓力或支撐其中一邊被確認，再決定追蹤方向。 量縮等待表態。",空方壓縮,空｜偏多,空｜強空,放量｜RV 3.24x｜均線下彎,PCB載板材料,6,量縮壓縮
4571 鈞興-KY,機器人,191.5,47,空方壓縮｜等方向,🌫 等待盤,temp-cool,空方壓縮,195(30M平台) / 198(前高),191(30M平台),0.14,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜強空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 1.81x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌫 等待盤</span></div>,空方整理中，若支撐守不住，往下可能加速。<br>市場還在收斂，等確認後再看。 空間偏緊，較像要先等確認的盤。 量縮壓縮味道明顯，等待方向確認即可。,"方向：盤整待變
關鍵：守住 191(30M平台)，突破 195(30M平台) / 198(前高)，RR 偏緊
劇本：等待壓力或支撐其中一邊被確認，再決定追蹤方向。 量縮等待表態。",空方壓縮,空｜偏空,空｜強空,放量｜RV 1.81x｜沿短均線下殺,機器人,6,量縮壓縮
5443 均豪,"機器人,自選",118.0,47,空方壓縮｜等方向,🌫 等待盤,temp-cool,空方壓縮,122(前高) / 123(30M平台),117.5(30M平台),0.12,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜強空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 1.81x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌫 等待盤</span></div>,空方整理中，若支撐守不住，往下可能加速。<br>市場還在收斂，等確認後再看。 空間偏緊，較像要先等確認的盤。 量縮壓縮味道明顯，等待方向確認即可。,"方向：盤整待變
關鍵：守住 117.5(30M平台)，突破 122(前高) / 123(30M平台)，RR 偏緊
劇本：等待壓力或支撐其中一邊被確認，再決定追蹤方向。 量縮等待表態。",空方壓縮,空｜偏空,空｜強空,放量｜RV 1.81x｜沿短均線下殺,"機器人,自選",6,量縮壓縮
1536 和大,機器人,51.0,46,空方壓縮｜等方向,🌫 等待盤,temp-cool,空方壓縮,51.35(MA60) / 52.2(30M平台),50.9(30M平台),0.29,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜強空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>均線附近</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 1.54x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌫 等待盤</span></div>,空方整理中，若支撐守不住，往下可能加速。<br>市場還在收斂，等確認後再看。 空間偏緊，較像要先等確認的盤。 量縮壓縮味道明顯，等待方向確認即可。,"方向：盤整待變
關鍵：守住 50.9(30M平台)，突破 51.35(MA60) / 52.2(30M平台)，RR 偏緊
劇本：等待壓力或支撐其中一邊被確認，再決定追蹤方向。 量縮等待表態。",空方壓縮,空｜偏空,空｜強空,放量｜RV 1.54x｜沿短均線下殺,機器人,6,量縮壓縮
6526 達發,ASIC,687.0,44,空方壓縮｜等方向,🌫 等待盤,temp-cool,空方壓縮,713(30M平台) / 714(前高),686(30M平台),0.04,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜強空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 1.75x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌫 等待盤</span></div>,空方整理中，若支撐守不住，往下可能加速。<br>市場還在收斂，等確認後再看。 空間偏緊，較像要先等確認的盤。 量縮壓縮味道明顯，等待方向確認即可。,"方向：盤整待變
關鍵：守住 686(30M平台)，突破 713(30M平台) / 714(前高)，RR 偏緊
劇本：等待壓力或支撐其中一邊被確認，再決定追蹤方向。 量縮等待表態。",空方壓縮,空｜偏空,空｜強空,放量｜RV 1.75x｜沿短均線下殺,ASIC,6,量縮壓縮
3443 創意,ASIC,4400.0,42,跌深反彈後轉弱,⚠️ 高風險盤,temp-danger,反彈失敗,4605(前高) / 4610(30M平台),4268(保守支撐),0.64,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜強空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>低檔乖離</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 4.09x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>⚠️ 高風險盤</span></div>,反彈已被破壞，若再跌破關鍵位，容易轉弱。<br>風險開始升高，追價要更保守。 空間偏緊，較像要先等確認的盤。 量縮壓縮味道明顯，等待方向確認即可。,"方向：風險偏空
關鍵：守住 4268(保守支撐)，突破 4605(前高) / 4610(30M平台)，RR 偏緊
劇本：盤面風險升高，先保守；反彈若不過壓力仍偏弱；跌破支撐風險會再升高。 量縮等待表態。",跌深反彈後轉弱,空｜偏空,空｜強空,放量｜RV 4.09x｜沿短均線下殺,ASIC,9,量縮壓縮
2337 旺宏,"記憶體,自選",156.5,41,主跌空｜偏保守,⚠️ 高風險盤,temp-danger,主跌,162(30M平台) / 175.5(前高),151.81(保守支撐),0.85,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜強空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 4.18x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>⚠️ 高風險盤</span></div>,空方主導，反彈先看壓力。<br>風險開始升高，追價要更保守。 追價報酬效率普通，宜等更明確的突破。,"方向：風險偏空
關鍵：守住 151.81(保守支撐)，突破 162(30M平台) / 175.5(前高)，RR 偏緊
劇本：盤面風險升高，先保守；反彈若不過壓力仍偏弱；跌破支撐風險會再升高。",主跌空,空｜偏多,空｜強空,放量｜RV 4.18x｜沿短均線下殺,"記憶體,自選",10,一般整理
2363 矽統,ASIC,63.1,29,主跌空｜偏保守,⚠️ 高風險盤,temp-danger,主跌,65.5(30M平台) / 66.8(前高),61.21(保守支撐),0.79,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜強空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.02x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>⚠️ 高風險盤</span></div>,空方主導，反彈先看壓力。<br>風險開始升高，追價要更保守。 空間偏緊，較像要先等確認的盤。,"方向：風險偏空
關鍵：守住 61.21(保守支撐)，突破 65.5(30M平台) / 66.8(前高)，RR 偏緊
劇本：盤面風險升高，先保守；反彈若不過壓力仍偏弱；跌破支撐風險會再升高。",主跌空,空｜偏多,空｜強空,放量｜RV 3.02x｜沿短均線下殺,ASIC,10,一般整理
3035 智原,ASIC,191.5,29,主跌空｜偏保守,⚠️ 高風險盤,temp-danger,主跌,203(30M平台) / 209.5(前高),185.75(保守支撐),0.50,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜強空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.34x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>⚠️ 高風險盤</span></div>,空方主導，反彈先看壓力。<br>風險開始升高，追價要更保守。 空間偏緊，較像要先等確認的盤。,"方向：風險偏空
關鍵：守住 185.75(保守支撐)，突破 203(30M平台) / 209.5(前高)，RR 偏緊
劇本：盤面風險升高，先保守；反彈若不過壓力仍偏弱；跌破支撐風險會再升高。",主跌空,空｜偏多,空｜強空,放量｜RV 2.34x｜沿短均線下殺,ASIC,10,一般整理
6781 AES-KY,BBU,1155.0,29,主跌空｜偏保守,⚠️ 高風險盤,temp-danger,主跌,1210(前高) / 1210(30M平台),1130(前低),0.45,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.08x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>⚠️ 高風險盤</span></div>,空方主導，反彈先看壓力。<br>風險開始升高，追價要更保守。 空間偏緊，較像要先等確認的盤。,"方向：風險偏空
關鍵：守住 1130(前低)，突破 1210(前高) / 1210(30M平台)，RR 偏緊
劇本：盤面風險升高，先保守；反彈若不過壓力仍偏弱；跌破支撐風險會再升高。",主跌空,空｜偏空,空｜偏空,放量｜RV 2.08x｜橫向整理,BBU,10,一般整理
8039 台虹,PCB載板材料,140.5,29,主跌空｜偏保守,⚠️ 高風險盤,temp-danger,主跌,150.5(30M平台) / 150.5(前高),136.28(保守支撐),0.42,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜強空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.23x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>⚠️ 高風險盤</span></div>,空方主導，反彈先看壓力。<br>風險開始升高，追價要更保守。 空間偏緊，較像要先等確認的盤。,"方向：風險偏空
關鍵：守住 136.28(保守支撐)，突破 150.5(30M平台) / 150.5(前高)，RR 偏緊
劇本：盤面風險升高，先保守；反彈若不過壓力仍偏弱；跌破支撐風險會再升高。",主跌空,空｜偏多,空｜強空,放量｜RV 3.23x｜沿短均線下殺,PCB載板材料,10,一般整理
4979 華星光,"光通訊,自選",590.0,29,主跌空｜偏保守,⚠️ 高風險盤,temp-danger,主跌,637(前高) / 637(30M平台),572.3(保守支撐),0.38,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜強空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 4.17x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>⚠️ 高風險盤</span></div>,空方主導，反彈先看壓力。<br>風險開始升高，追價要更保守。 空間偏緊，較像要先等確認的盤。,"方向：風險偏空
關鍵：守住 572.3(保守支撐)，突破 637(前高) / 637(30M平台)，RR 偏緊
劇本：盤面風險升高，先保守；反彈若不過壓力仍偏弱；跌破支撐風險會再升高。",主跌空,空｜偏空,空｜強空,放量｜RV 4.17x｜沿短均線下殺,"光通訊,自選",10,一般整理
3163 波若威,光通訊,990.0,26,主跌空｜偏保守,⚠️ 高風險盤,temp-danger,主跌,1005(大量K) / 1032.33(MA60),988(前低),0.13,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜強空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 1.59x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>⚠️ 高風險盤</span></div>,空方主導，反彈先看壓力。<br>風險開始升高，追價要更保守。 空間偏緊，較像要先等確認的盤。,"方向：風險偏空
關鍵：守住 988(前低)，突破 1005(大量K) / 1032.33(MA60)，RR 偏緊
劇本：盤面風險升高，先保守；反彈若不過壓力仍偏弱；跌破支撐風險會再升高。",主跌空,空｜偏空,空｜強空,放量｜RV 1.59x｜沿短均線下殺,光通訊,10,一般整理
4908 前鼎,光通訊,234.5,17,主跌空｜偏保守,⚠️ 高風險盤,temp-danger,主跌,251(30M平台) / 251(前高),232(前低),0.15,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜強空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.13x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>⚠️ 高風險盤</span></div>,空方主導，反彈先看壓力。<br>風險開始升高，追價要更保守。 空間偏緊，較像要先等確認的盤。,"方向：風險偏空
關鍵：守住 232(前低)，突破 251(30M平台) / 251(前高)，RR 偏緊
劇本：盤面風險升高，先保守；反彈若不過壓力仍偏弱；跌破支撐風險會再升高。",主跌空,空｜偏空,空｜強空,放量｜RV 3.13x｜沿短均線下殺,光通訊,10,一般整理
3081 聯亞,光通訊,2580.0,11,主跌空｜偏保守,⚠️ 高風險盤,temp-danger,主跌,2615(大量K) / 2830(30M平台),2575(前低),0.14,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜強空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>量縮｜RV 0.00x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>⚠️ 高風險盤</span></div>,空方主導，反彈先看壓力。<br>風險開始升高，追價要更保守。 空間偏緊，較像要先等確認的盤。,"方向：風險偏空
關鍵：守住 2575(前低)，突破 2615(大量K) / 2830(30M平台)，RR 偏緊
劇本：盤面風險升高，先保守；反彈若不過壓力仍偏弱；跌破支撐風險會再升高。",主跌空,空｜偏空,空｜強空,量縮｜RV 0.00x｜沿短均線下殺,光通訊,10,一般整理
